,pokedex_number,Number,name,attack,defense,sp_attack,sp_defense,speed,hp,base_total,base_egg_steps,base_happiness,capture_rate,experience_growth,generation,is_legendary,Total Fights,Win Percentage,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,bug2,dark2,dragon2,electric2,fairy2,fighting2,fire2,flying2,ghost2,grass2,ground2,ice2,none,normal2,poison2,psychic2,rock2,steel2,water2
18,19,25.0,Rattata,56,35,25,35,72,30,253,3840,70,255,1000000,1,0,135.0,0.48148148148148145,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,26.0,Raticate,71,70,40,80,77,75,413,3840,70,127,1000000,1,0,140.0,0.7214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,27.0,Spearow,60,30,31,31,70,40,262,3840,70,255,1000000,1,0,138.0,0.4492753623188406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,22,28.0,Fearow,90,65,61,61,100,65,442,3840,70,90,1000000,1,0,123.0,0.8373983739837398,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,23,29.0,Ekans,60,44,40,54,55,35,288,5120,70,255,1000000,1,0,131.0,0.366412213740458,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,24,30.0,Arbok,95,69,65,79,80,60,448,5120,70,90,1000000,1,0,125.0,0.576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,25,31.0,Pikachu,55,40,50,50,90,35,320,2560,70,190,1000000,1,0,136.0,0.6838235294117647,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,26,32.0,Raichu,85,50,95,85,110,60,485,2560,70,75,1000000,1,0,121.0,0.8677685950413223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,34.0,Sandslash,100,120,25,65,65,75,450,5120,70,90,1000000,1,0,105.0,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,29,35.0,Nidoran♀,47,52,40,40,41,55,275,5120,70,235,1059860,1,0,119.0,0.16806722689075632,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,30,36.0,Nidorina,62,67,55,55,56,70,365,5120,70,120,1059860,1,0,148.0,0.38513513513513514,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,31,37.0,Nidoqueen,92,87,75,85,76,90,505,5120,70,45,1059860,1,0,122.0,0.5409836065573771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,32,38.0,Nidoran♂,57,40,40,40,50,46,273,5120,70,235,1059860,1,0,136.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,33,39.0,Nidorino,72,57,55,55,65,61,365,5120,70,120,1059860,1,0,128.0,0.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,34,40.0,Nidoking,102,77,85,75,85,81,505,5120,70,45,1059860,1,0,140.0,0.5642857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,35,41.0,Clefairy,45,48,60,65,35,70,323,2560,140,150,800000,1,0,127.0,0.15748031496062992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,36,42.0,Clefable,70,73,95,90,60,95,483,2560,140,25,800000,1,0,123.0,0.3983739837398374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,37,43.0,Vulpix,41,40,50,65,65,38,299,5120,70,190,1000000,1,0,129.0,0.4108527131782946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,38,44.0,Ninetales,67,75,81,100,109,73,505,5120,70,75,1000000,1,0,127.0,0.8110236220472441,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,39,45.0,Jigglypuff,45,20,45,25,20,115,270,2560,70,170,800000,1,0,130.0,0.11538461538461539,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,47.0,Zubat,45,35,30,40,55,40,245,3840,70,255,1000000,1,0,145.0,0.3793103448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,42,48.0,Golbat,80,70,65,75,90,75,455,3840,70,90,1000000,1,0,128.0,0.7578125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,43,49.0,Oddish,50,55,75,65,30,45,320,5120,70,255,1059860,1,0,143.0,0.06293706293706294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,44,50.0,Gloom,65,70,85,75,40,60,395,5120,70,120,1059860,1,0,129.0,0.21705426356589147,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,45,51.0,Vileplume,80,85,110,90,50,75,490,5120,70,45,1059860,1,0,124.0,0.3548387096774194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,46,52.0,Paras,70,55,45,55,25,35,285,5120,70,190,1000000,1,0,138.0,0.09420289855072464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,47,53.0,Parasect,95,80,60,80,30,60,405,5120,70,75,1000000,1,0,154.0,0.19480519480519481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,48,54.0,Venonat,55,50,40,55,45,60,305,5120,70,190,1000000,1,0,143.0,0.22377622377622378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,49,55.0,Venomoth,65,60,90,75,90,70,450,5120,70,75,1000000,1,0,140.0,0.6571428571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,50,56.0,Diglett,55,30,35,45,90,10,265,5120,70,255,1000000,1,0,126.0,0.5396825396825397,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,51,57.0,Dugtrio,100,60,50,70,110,35,425,5120,70,50,1000000,1,0,128.0,0.84375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,52,58.0,Meowth,35,35,50,40,90,40,290,5120,70,255,1000000,1,0,140.0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,59.0,Persian,60,60,75,65,115,65,440,5120,70,90,1000000,1,0,120.0,0.8583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,60.0,Psyduck,52,48,65,50,55,50,320,5120,70,190,1000000,1,0,142.0,0.33098591549295775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,55,61.0,Golduck,82,78,95,80,85,80,500,5120,70,75,1000000,1,0,115.0,0.6869565217391305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,56,62.0,Mankey,80,35,35,45,70,40,305,5120,70,190,1000000,1,0,118.0,0.4661016949152542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,58,64.0,Growlithe,70,45,70,50,60,55,350,5120,70,190,1250000,1,0,120.0,0.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,59,65.0,Arcanine,110,80,100,80,95,90,555,5120,70,75,1250000,1,0,114.0,0.7982456140350878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,61,67.0,Poliwhirl,65,65,50,50,90,65,385,5120,70,120,1059860,1,0,125.0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,62,68.0,Poliwrath,95,95,70,90,70,90,510,5120,70,45,1059860,1,0,130.0,0.5230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,69.0,Abra,20,15,105,55,90,25,310,5120,70,200,1059860,1,0,108.0,0.32407407407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,64,70.0,Kadabra,35,30,120,70,105,40,400,5120,70,100,1059860,1,0,130.0,0.6692307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,65,71.0,Alakazam,50,65,175,105,150,55,600,5120,70,50,1059860,1,0,140.0,0.7714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,66,73.0,Machop,80,50,35,35,35,70,305,5120,70,180,1059860,1,0,150.0,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,67,74.0,Machoke,100,70,50,60,45,80,405,5120,70,90,1059860,1,0,124.0,0.25806451612903225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,68,75.0,Machamp,130,80,65,85,55,90,505,5120,70,45,1059860,1,0,116.0,0.4396551724137931,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,69,76.0,Bellsprout,75,35,70,30,40,50,300,5120,70,255,1059860,1,0,108.0,0.21296296296296297,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,70,77.0,Weepinbell,90,50,85,45,55,65,390,5120,70,120,1059860,1,0,121.0,0.371900826446281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,72,79.0,Tentacool,40,35,50,100,70,40,335,5120,70,190,1250000,1,0,157.0,0.5031847133757962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,73,80.0,Tentacruel,70,65,80,120,100,80,515,5120,70,60,1250000,1,0,117.0,0.8034188034188035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,74,81.0,Geodude,80,100,30,30,20,40,300,3840,70,255,1059860,1,0,135.0,0.11851851851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,75,82.0,Graveler,95,115,45,45,35,55,390,3840,70,120,1059860,1,0,137.0,0.2116788321167883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,76,83.0,Golem,120,130,55,65,45,80,495,3840,70,45,1059860,1,0,135.0,0.37037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,77,84.0,Ponyta,85,55,65,65,90,50,410,5120,70,190,1000000,1,0,115.0,0.7478260869565218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,78,85.0,Rapidash,100,70,80,80,105,65,500,5120,70,60,1000000,1,0,105.0,0.8666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,79,86.0,Slowpoke,65,65,40,40,15,90,315,5120,70,190,1000000,1,0,122.0,0.19672131147540983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,80,87.0,Slowbro,75,180,130,80,30,95,590,5120,70,75,1000000,1,0,131.0,0.15267175572519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,81,89.0,Magnemite,35,70,95,55,45,25,325,5120,70,190,1000000,1,0,143.0,0.16783216783216784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,83,91.0,Farfetch'd,90,55,58,62,60,52,377,5120,70,45,1000000,1,0,116.0,0.4482758620689655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,84,92.0,Doduo,85,45,35,35,75,35,310,5120,70,190,1000000,1,0,134.0,0.6492537313432836,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,85,93.0,Dodrio,110,70,60,60,110,60,470,5120,70,45,1000000,1,0,143.0,0.8461538461538461,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,86,94.0,Seel,45,55,45,70,45,65,325,5120,70,190,1000000,1,0,119.0,0.24369747899159663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,87,95.0,Dewgong,70,80,70,95,70,90,475,5120,70,75,1000000,1,0,131.0,0.5190839694656488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,88,96.0,Grimer,80,50,40,50,25,80,325,5120,70,190,1000000,1,0,142.0,0.176056338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,89,97.0,Muk,105,75,65,100,50,105,500,5120,70,75,1000000,1,0,133.0,0.37593984962406013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,90,98.0,Shellder,65,100,45,25,40,30,305,5120,70,190,1250000,1,0,111.0,0.1891891891891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,91,99.0,Cloyster,95,180,85,45,70,50,525,5120,70,60,1250000,1,0,134.0,0.5298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,92,100.0,Gastly,35,30,100,35,80,30,310,5120,70,190,1059860,1,0,128.0,0.4765625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,93,101.0,Haunter,50,45,115,55,95,45,405,5120,70,90,1059860,1,0,111.0,0.6936936936936937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,94,102.0,Gengar,65,80,170,95,130,60,600,5120,70,45,1059860,1,0,114.0,0.7719298245614035,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,95,104.0,Onix,45,160,30,45,70,35,385,6400,70,45,1000000,1,0,135.0,0.48148148148148145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,96,105.0,Drowzee,48,45,43,90,42,60,328,5120,70,190,1000000,1,0,137.0,0.21897810218978103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,97,106.0,Hypno,73,70,73,115,67,85,483,5120,70,75,1000000,1,0,119.0,0.5126050420168067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,98,107.0,Krabby,105,90,25,25,50,30,325,5120,70,225,1000000,1,0,137.0,0.2773722627737226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,99,108.0,Kingler,130,115,50,50,75,55,475,5120,70,60,1000000,1,0,112.0,0.5982142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,100,109.0,Voltorb,30,50,55,55,100,40,330,5120,70,190,1000000,1,0,113.0,0.584070796460177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,101,110.0,Electrode,50,70,80,80,150,60,490,5120,70,60,1000000,1,0,129.0,0.8449612403100775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,102,111.0,Exeggcute,40,80,60,45,40,60,325,5120,70,90,1250000,1,0,136.0,0.23529411764705882,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,103,112.0,Exeggutor,105,85,125,75,45,95,530,5120,70,45,1250000,1,0,95.0,0.3894736842105263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,104,113.0,Cubone,50,95,40,50,35,50,320,5120,70,190,1000000,1,0,143.0,0.20279720279720279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,105,114.0,Marowak,80,110,50,80,45,60,425,5120,70,75,1000000,1,0,120.0,0.2833333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,106,115.0,Hitmonlee,120,53,35,110,87,50,455,6400,70,45,1000000,1,0,128.0,0.640625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,107,116.0,Hitmonchan,105,79,35,110,76,50,455,6400,70,45,1000000,1,0,140.0,0.6214285714285714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,108,117.0,Lickitung,55,75,60,75,30,90,385,5120,70,45,1000000,1,0,136.0,0.13970588235294118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,109,118.0,Koffing,65,95,60,45,35,40,340,5120,70,190,1000000,1,0,143.0,0.13986013986013987,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,110,119.0,Weezing,90,120,85,70,60,65,490,5120,70,60,1000000,1,0,129.0,0.43410852713178294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,111,120.0,Rhyhorn,85,95,30,30,25,80,345,5120,70,120,1250000,1,0,119.0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
